customer_id;acquisition_date;acquisition_channel
CLI0001;2024-06-01;TikTok
CLI0002;2023-12-20;Instagram
CLI0003;2024-08-21;Instagram
CLI0004;2024-03-07;Instagram
CLI0005;2023-09-07;TikTok
CLI0006;2024-07-20;TikTok
CLI0007;2024-03-29;TikTok
CLI0008;2023-06-02;Instagram
CLI0009;2023-01-10;TikTok
CLI0010;2024-07-23;Referral
CLI0011;2023-08-14;TikTok
CLI0012;2023-08-24;Referral
CLI0013;2024-04-25;Instagram
CLI0014;2023-09-04;Referral
CLI0015;2024-07-21;Referral
CLI0016;2023-01-30;Referral
CLI0017;2023-09-05;Instagram
CLI0018;2024-05-05;TikTok
CLI0019;2024-05-02;Instagram
CLI0020;2024-03-01;Instagram
CLI0021;2023-02-27;TikTok
CLI0022;2024-03-02;Instagram
CLI0023;2023-03-03;TikTok
CLI0024;2024-02-14;Instagram
CLI0025;2023-06-20;Instagram
CLI0026;2024-01-29;Instagram
CLI0027;2023-01-13;TikTok
CLI0028;2023-10-26;Instagram
CLI0029;2024-06-22;Referral
CLI0030;2023-05-26;Referral
CLI0031;2024-02-29;TikTok
CLI0032;2024-05-18;TikTok
CLI0033;2023-12-24;TikTok
CLI0034;2023-03-08;TikTok
CLI0035;2023-05-04;Instagram
CLI0036;2023-09-15;Instagram
CLI0037;2023-08-28;Referral
CLI0038;2023-02-14;Referral
CLI0039;2023-09-05;Instagram
CLI0040;2024-02-04;TikTok
CLI0041;2024-06-30;Organic
CLI0042;2023-01-23;Referral
CLI0043;2024-04-16;TikTok
CLI0044;2024-01-27;Organic
CLI0045;2023-09-26;Instagram
CLI0046;2023-02-25;Referral
CLI0047;2023-06-03;TikTok
CLI0048;2024-03-02;Instagram
CLI0049;2023-06-02;Referral
CLI0050;2023-01-01;Instagram
CLI0051;2023-12-07;TikTok
CLI0052;2023-05-04;Instagram
CLI0053;2024-07-26;Referral
CLI0054;2023-08-26;Instagram
CLI0055;2024-08-02;TikTok
CLI0056;2023-06-16;Instagram
CLI0057;2023-11-08;TikTok
CLI0058;2023-01-11;Instagram
CLI0059;2024-08-29;Referral
CLI0060;2023-11-04;Referral
CLI0061;2024-05-04;Instagram
CLI0062;2023-02-16;Organic
CLI0063;2024-05-18;Instagram
CLI0064;2024-09-08;Instagram
CLI0065;2024-06-23;TikTok
CLI0066;2024-09-23;Instagram
CLI0067;2023-12-08;Referral
CLI0068;2023-10-22;Instagram
CLI0069;2023-07-22;Instagram
CLI0070;2023-07-30;Instagram
CLI0071;2023-09-03;TikTok
CLI0072;2023-02-14;Referral
CLI0073;2024-05-09;Instagram
CLI0074;2023-08-03;Instagram
CLI0075;2023-07-01;Referral
CLI0076;2023-06-29;Referral
CLI0077;2024-09-13;Referral
CLI0078;2024-09-07;Instagram
CLI0079;2023-04-29;Instagram
CLI0080;2024-01-26;Instagram
CLI0081;2023-01-15;Instagram
CLI0082;2024-09-05;Instagram
CLI0083;2023-02-22;Referral
CLI0084;2024-03-02;TikTok
CLI0085;2024-01-16;TikTok
CLI0086;2023-02-28;Instagram
CLI0087;2024-07-10;Instagram
CLI0088;2023-06-12;TikTok
CLI0089;2024-07-25;Instagram
CLI0090;2023-09-29;TikTok
CLI0091;2023-09-02;TikTok
CLI0092;2023-07-11;TikTok
CLI0093;2024-08-14;Referral
CLI0094;2024-08-30;Instagram
CLI0095;2023-07-21;Instagram
CLI0096;2023-05-13;Instagram
CLI0097;2023-11-06;Instagram
CLI0098;2023-02-15;Referral
CLI0099;2024-06-17;Referral
CLI0100;2024-05-10;Instagram
CLI0101;2023-10-04;Instagram
CLI0102;2023-01-15;Instagram
CLI0103;2023-01-09;Referral
CLI0104;2024-03-23;Referral
CLI0105;2024-06-29;TikTok
CLI0106;2023-05-22;TikTok
CLI0107;2024-04-20;Instagram
CLI0108;2024-08-05;TikTok
CLI0109;2023-11-13;Instagram
CLI0110;2024-05-13;TikTok
CLI0111;2023-06-17;Referral
CLI0112;2024-01-10;Referral
CLI0113;2024-01-07;TikTok
CLI0114;2024-05-14;Referral
CLI0115;2024-08-18;Instagram
CLI0116;2023-01-22;Instagram
CLI0117;2024-07-04;Instagram
CLI0118;2023-07-14;TikTok
CLI0119;2024-07-18;Referral
CLI0120;2023-10-15;Instagram
CLI0121;2023-05-07;Referral
CLI0122;2024-08-31;Instagram
CLI0123;2024-01-04;Organic
CLI0124;2023-01-12;Referral
CLI0125;2024-04-07;Instagram
CLI0126;2024-05-01;Instagram
CLI0127;2023-08-22;TikTok
CLI0128;2023-09-16;Instagram
CLI0129;2023-05-11;Instagram
CLI0130;2024-09-12;TikTok
CLI0131;2023-11-19;Instagram
CLI0132;2023-06-01;TikTok
CLI0133;2024-07-05;TikTok
CLI0134;2023-10-27;Instagram
CLI0135;2024-07-13;Referral
CLI0136;2023-10-03;Organic
CLI0137;2024-03-17;Instagram
CLI0138;2023-04-22;Referral
CLI0139;2024-08-08;TikTok
CLI0140;2024-07-23;Referral
CLI0141;2024-02-21;Referral
CLI0142;2023-07-07;Instagram
CLI0143;2024-02-01;TikTok
CLI0144;2024-02-10;Instagram
CLI0145;2023-10-23;Organic
CLI0146;2024-09-30;Referral
CLI0147;2023-12-01;Instagram
CLI0148;2023-03-06;TikTok
CLI0149;2024-04-13;Instagram
CLI0150;2023-06-27;Referral
CLI0151;2024-06-07;Instagram
CLI0152;2024-09-12;TikTok
CLI0153;2023-12-12;Instagram
CLI0154;2023-03-04;Instagram
CLI0155;2023-04-01;Instagram
CLI0156;2024-03-17;Instagram
CLI0157;2023-02-24;TikTok
CLI0158;2024-07-04;Instagram
CLI0159;2023-10-13;Instagram
CLI0160;2023-08-19;Referral
CLI0161;2023-12-26;TikTok
CLI0162;2023-11-29;TikTok
CLI0163;2023-08-08;Referral
CLI0164;2023-05-25;Referral
CLI0165;2023-02-07;Instagram
CLI0166;2023-02-05;Instagram
CLI0167;2023-12-29;TikTok
CLI0168;2024-03-21;Instagram
CLI0169;2024-01-20;Instagram
CLI0170;2024-01-31;Referral
CLI0171;2023-01-11;TikTok
CLI0172;2023-09-25;Organic
CLI0173;2024-03-27;Referral
CLI0174;2023-01-13;Instagram
CLI0175;2024-06-01;Organic
CLI0176;2023-01-10;TikTok
CLI0177;2024-05-15;TikTok
CLI0178;2024-01-10;TikTok
CLI0179;2024-09-26;Instagram
CLI0180;2024-09-15;TikTok
CLI0181;2023-01-24;TikTok
CLI0182;2024-03-05;Instagram
CLI0183;2023-05-20;Referral
CLI0184;2024-08-18;TikTok
CLI0185;2024-08-10;Referral
CLI0186;2024-04-23;Instagram
CLI0187;2023-09-28;Instagram
CLI0188;2023-07-06;Instagram
CLI0189;2023-03-05;Referral
CLI0190;2023-06-14;TikTok
CLI0191;2023-08-24;Referral
CLI0192;2024-04-01;TikTok
CLI0193;2023-06-19;Instagram
CLI0194;2024-02-19;Referral
CLI0195;2023-04-18;TikTok
CLI0196;2024-05-28;Referral
CLI0197;2023-04-19;Referral
CLI0198;2023-03-21;Referral
CLI0199;2023-12-03;Referral
CLI0200;2024-08-16;TikTok
CLI0201;2023-10-30;Instagram
CLI0202;2023-03-10;Referral
CLI0203;2024-03-03;TikTok
CLI0204;2023-04-05;TikTok
CLI0205;2023-07-10;Instagram
CLI0206;2024-01-19;Instagram
CLI0207;2024-08-12;Organic
CLI0208;2024-06-21;Instagram
CLI0209;2024-07-25;Instagram
CLI0210;2024-08-11;TikTok
CLI0211;2024-08-28;TikTok
CLI0212;2023-01-26;TikTok
CLI0213;2024-07-15;TikTok
CLI0214;2024-06-06;Referral
CLI0215;2023-12-13;Instagram
CLI0216;2024-08-09;TikTok
CLI0217;2023-04-07;Instagram
CLI0218;2024-03-14;TikTok
CLI0219;2023-09-28;Instagram
CLI0220;2024-04-16;Instagram
CLI0221;2023-08-09;Instagram
CLI0222;2023-12-15;TikTok
CLI0223;2023-05-19;Instagram
CLI0224;2023-12-02;Instagram
CLI0225;2023-09-08;Referral
CLI0226;2024-05-19;TikTok
CLI0227;2023-07-28;TikTok
CLI0228;2024-06-16;TikTok
CLI0229;2023-08-06;Instagram
CLI0230;2023-06-11;Referral
CLI0231;2023-02-20;Instagram
CLI0232;2023-03-01;Referral
CLI0233;2024-06-23;Instagram
CLI0234;2024-03-08;Instagram
CLI0235;2024-03-14;Instagram
CLI0236;2023-06-03;Organic
CLI0237;2024-05-22;Referral
CLI0238;2023-12-10;Referral
CLI0239;2023-09-01;TikTok
CLI0240;2024-02-22;Referral
CLI0241;2023-11-18;Instagram
CLI0242;2023-11-10;TikTok
CLI0243;2024-01-28;Instagram
CLI0244;2024-09-08;Instagram
CLI0245;2024-03-07;Instagram
CLI0246;2023-10-14;Instagram
CLI0247;2024-09-26;TikTok
CLI0248;2023-12-22;Instagram
CLI0249;2023-10-15;TikTok
CLI0250;2024-04-27;Instagram
CLI0251;2023-02-18;Instagram
CLI0252;2023-03-22;TikTok
CLI0253;2023-09-23;Instagram
CLI0254;2024-07-16;TikTok
CLI0255;2023-04-16;Instagram
CLI0256;2024-04-11;Instagram
CLI0257;2024-06-08;TikTok
CLI0258;2024-04-02;Referral
CLI0259;2023-08-25;Instagram
CLI0260;2024-07-30;Referral
CLI0261;2024-08-19;Instagram
CLI0262;2023-11-18;TikTok
CLI0263;2023-06-21;Referral
CLI0264;2023-07-31;Organic
CLI0265;2024-08-19;Referral
CLI0266;2024-08-24;Referral
CLI0267;2024-08-16;Instagram
CLI0268;2024-06-15;Instagram
CLI0269;2023-02-03;Instagram
CLI0270;2023-05-08;TikTok
CLI0271;2024-03-20;TikTok
CLI0272;2024-08-12;TikTok
CLI0273;2024-09-26;Instagram
CLI0274;2024-06-07;Referral
CLI0275;2023-10-28;Referral
CLI0276;2024-06-24;Instagram
CLI0277;2024-07-28;Instagram
CLI0278;2023-01-25;Instagram
CLI0279;2024-08-17;Instagram
CLI0280;2024-04-20;TikTok
CLI0281;2023-11-07;TikTok
CLI0282;2023-05-24;Instagram
CLI0283;2023-09-02;Organic
CLI0284;2024-04-28;Referral
CLI0285;2024-03-12;TikTok
CLI0286;2023-10-10;TikTok
CLI0287;2023-09-23;Instagram
CLI0288;2024-09-10;TikTok
CLI0289;2023-10-02;Referral
CLI0290;2023-02-25;Instagram
CLI0291;2024-06-26;Organic
CLI0292;2024-04-09;Referral
CLI0293;2023-09-15;Instagram
CLI0294;2023-09-06;TikTok
CLI0295;2023-11-16;TikTok
CLI0296;2023-11-04;TikTok
CLI0297;2024-02-06;Referral
CLI0298;2024-04-24;Referral
CLI0299;2024-02-29;Referral
CLI0300;2023-12-04;Instagram
CLI0301;2024-07-27;Instagram
CLI0302;2023-06-18;Instagram
CLI0303;2024-05-29;TikTok
CLI0304;2023-08-17;Instagram
CLI0305;2024-06-16;Organic
CLI0306;2023-05-29;Instagram
CLI0307;2023-11-07;Instagram
CLI0308;2024-08-13;Instagram
CLI0309;2024-04-04;Referral
CLI0310;2023-09-27;Referral
CLI0311;2024-05-12;Instagram
CLI0312;2024-01-23;Organic
CLI0313;2023-01-15;TikTok
CLI0314;2024-07-16;Referral
CLI0315;2023-01-20;Organic
CLI0316;2024-09-13;TikTok
CLI0317;2024-04-23;Instagram
CLI0318;2023-08-12;Referral
CLI0319;2024-06-22;Instagram
CLI0320;2023-08-04;Instagram
CLI0321;2024-07-27;Instagram
CLI0322;2023-11-06;TikTok
CLI0323;2024-01-23;TikTok
CLI0324;2024-05-16;Instagram
CLI0325;2023-02-14;TikTok
CLI0326;2023-05-23;TikTok
CLI0327;2023-01-04;Referral
CLI0328;2023-04-28;Referral
CLI0329;2023-10-24;Instagram
CLI0330;2023-10-27;Organic
CLI0331;2024-03-05;Referral
CLI0332;2024-02-26;Instagram
CLI0333;2023-08-30;Instagram
CLI0334;2023-01-30;Instagram
CLI0335;2023-01-07;Instagram
CLI0336;2023-09-22;Instagram
CLI0337;2023-10-07;Referral
CLI0338;2023-09-14;TikTok
CLI0339;2023-04-14;Referral
CLI0340;2023-01-15;Referral
CLI0341;2023-05-04;Instagram
CLI0342;2023-03-30;Referral
CLI0343;2024-05-18;Instagram
CLI0344;2023-07-03;TikTok
CLI0345;2024-03-22;Instagram
CLI0346;2024-01-29;TikTok
CLI0347;2024-02-04;TikTok
CLI0348;2024-01-29;Instagram
CLI0349;2024-04-25;Instagram
CLI0350;2024-05-12;Referral
CLI0351;2023-12-29;TikTok
CLI0352;2024-05-07;TikTok
CLI0353;2024-07-07;Instagram
CLI0354;2023-05-27;TikTok
CLI0355;2023-02-25;Organic
CLI0356;2024-08-20;Organic
CLI0357;2023-05-12;TikTok
CLI0358;2024-07-07;Instagram
CLI0359;2023-02-01;Instagram
CLI0360;2024-08-09;Referral
CLI0361;2024-02-01;TikTok
CLI0362;2024-06-14;Organic
CLI0363;2024-07-02;Referral
CLI0364;2023-12-22;Instagram
CLI0365;2024-06-07;Instagram
CLI0366;2024-08-23;Instagram
CLI0367;2023-08-04;Referral
CLI0368;2024-09-09;TikTok
CLI0369;2023-04-23;Instagram
CLI0370;2023-08-26;TikTok
CLI0371;2024-03-29;Organic
CLI0372;2023-01-13;Referral
CLI0373;2023-05-18;Referral
CLI0374;2023-01-02;Referral
CLI0375;2023-01-02;Instagram
CLI0376;2024-06-13;Referral
CLI0377;2024-04-05;Instagram
CLI0378;2023-05-02;Referral
CLI0379;2023-06-24;TikTok
CLI0380;2023-10-08;Instagram
CLI0381;2023-03-03;Instagram
CLI0382;2023-12-01;Instagram
CLI0383;2023-03-23;Instagram
CLI0384;2024-05-21;Instagram
CLI0385;2024-09-02;TikTok
CLI0386;2023-09-14;Referral
CLI0387;2023-06-28;Instagram
CLI0388;2024-02-27;Referral
CLI0389;2023-11-29;Organic
CLI0390;2024-08-01;Referral
CLI0391;2024-06-22;Instagram
CLI0392;2023-02-10;Organic
CLI0393;2024-05-29;Instagram
CLI0394;2023-09-18;Instagram
CLI0395;2024-05-21;Instagram
CLI0396;2023-04-09;Instagram
CLI0397;2024-02-27;Organic
CLI0398;2023-01-31;Instagram
CLI0399;2024-05-13;Instagram
CLI0400;2024-06-22;Referral
