customer_id;date;workouts_completed;videos_sent;messages_sent
CLI0001;2024-06-01;9;3;2
CLI0001;2024-06-08;3;3;8
CLI0001;2024-06-15;5;3;3
CLI0001;2024-06-22;10;5;7
CLI0001;2024-06-29;9;5;2
CLI0001;2024-07-06;4;1;7
CLI0001;2024-07-13;5;5;2
CLI0001;2024-07-20;8;5;6
CLI0001;2024-07-27;5;4;3
CLI0001;2024-08-03;3;3;4
CLI0001;2024-08-10;3;3;3
CLI0001;2024-08-17;6;1;4
CLI0001;2024-08-24;11;4;6
CLI0001;2024-08-31;5;2;8
CLI0001;2024-09-07;5;2;5
CLI0001;2024-09-14;3;2;7
CLI0001;2024-09-21;8;4;8
CLI0001;2024-09-28;6;3;3
CLI0001;2024-10-05;4;4;8
CLI0001;2024-10-12;3;4;3
CLI0001;2024-10-19;6;4;4
CLI0001;2024-10-26;7;2;3
CLI0001;2024-11-02;3;2;5
CLI0001;2024-11-09;8;3;8
CLI0001;2024-11-16;4;3;4
CLI0001;2024-11-23;11;4;7
CLI0001;2024-11-30;11;3;2
CLI0001;2024-12-07;4;3;3
CLI0001;2024-12-14;12;3;2
CLI0001;2024-12-21;4;5;5
CLI0002;2023-12-20;11;1;5
CLI0002;2023-12-27;12;2;4
CLI0002;2024-01-03;3;4;2
CLI0002;2024-01-10;11;5;7
CLI0002;2024-01-17;6;3;5
CLI0002;2024-01-24;4;3;6
CLI0002;2024-01-31;8;1;7
CLI0002;2024-02-07;7;5;4
CLI0002;2024-02-14;9;3;5
CLI0002;2024-02-21;7;5;3
CLI0002;2024-02-28;6;4;7
CLI0002;2024-03-06;9;2;6
CLI0002;2024-03-13;12;3;5
CLI0002;2024-03-20;11;1;4
CLI0002;2024-03-27;7;2;5
CLI0002;2024-04-03;12;5;7
CLI0002;2024-04-10;8;4;5
CLI0002;2024-04-17;10;2;6
CLI0002;2024-04-24;10;2;7
CLI0002;2024-05-01;4;3;6
CLI0002;2024-05-08;12;3;2
CLI0002;2024-05-15;6;3;3
CLI0002;2024-05-22;6;2;2
CLI0002;2024-05-29;3;2;5
CLI0002;2024-06-05;12;1;5
CLI0002;2024-06-12;9;5;3
CLI0002;2024-06-19;9;4;5
CLI0002;2024-06-26;6;2;7
CLI0002;2024-07-03;3;1;8
CLI0002;2024-07-10;9;2;3
CLI0002;2024-07-17;11;4;2
CLI0002;2024-07-24;11;2;8
CLI0002;2024-07-31;4;4;3
CLI0002;2024-08-07;10;5;6
CLI0002;2024-08-14;12;3;8
CLI0002;2024-08-21;10;5;8
CLI0002;2024-08-28;11;4;8
CLI0002;2024-09-04;11;4;3
CLI0002;2024-09-11;10;4;4
CLI0002;2024-09-18;6;3;8
CLI0002;2024-09-25;11;4;7
CLI0002;2024-10-02;6;3;5
CLI0002;2024-10-09;4;3;3
CLI0002;2024-10-16;7;3;4
CLI0002;2024-10-23;11;1;3
CLI0002;2024-10-30;5;2;5
CLI0002;2024-11-06;5;2;2
CLI0002;2024-11-13;9;4;4
CLI0002;2024-11-20;11;4;5
CLI0002;2024-11-27;3;2;8
CLI0002;2024-12-04;9;4;8
CLI0003;2024-08-21;9;4;2
CLI0003;2024-08-28;8;3;8
CLI0003;2024-09-04;9;4;6
CLI0003;2024-09-11;11;5;3
