FitCoach — engagement;;;;
;;;;
customer_id;date;workouts_completed;videos_sent;messages_sent
CLI0001;2023-06-13;10;2;6
CLI0001;2023-06-20;9;4;5
CLI0001;2023-06-27;12;2;9
CLI0001;2023-07-04;11;2;5
CLI0001;2023-07-11;8;2;6
CLI0001;2023-07-18;12;4;5
CLI0001;2023-07-25;12;2;10
CLI0001;2023-08-01;12;3;6
CLI0001;2023-08-08;11;4;7
CLI0001;2023-08-15;8;2;10
CLI0001;2023-08-22;11;3;7
CLI0001;2023-08-29;9;2;7
CLI0001;2023-09-05;8;2;8
CLI0001;2023-09-12;8;3;7
CLI0001;2023-09-19;12;3;5
CLI0001;2023-09-26;11;4;5
CLI0001;2023-10-03;11;2;9
CLI0001;2023-10-10;10;4;9
CLI0001;2023-10-17;10;4;6
CLI0001;2023-10-24;8;2;10
CLI0001;2023-10-31;9;3;5
CLI0001;2023-11-07;9;2;8
CLI0001;2023-11-14;10;3;10
CLI0001;2023-11-21;10;2;7
CLI0001;2023-11-28;10;2;10
CLI0001;2023-12-05;10;4;10
CLI0001;2023-12-12;8;4;10
CLI0001;2023-12-19;9;4;10
CLI0001;2023-12-26;9;2;8
CLI0001;2024-01-02;11;3;10
CLI0001;2024-01-09;12;2;10
CLI0001;2024-01-16;10;2;6
CLI0001;2024-01-23;8;3;8
CLI0001;2024-01-30;10;2;6
CLI0001;2024-02-06;12;4;7
CLI0001;2024-02-13;9;4;8
CLI0001;2024-02-20;11;4;8
CLI0001;2024-02-27;9;3;6
CLI0001;2024-03-05;9;4;9
CLI0001;2024-03-12;12;3;10
CLI0002;2023-05-30;11;3;6
CLI0002;2023-06-06;9;4;8
CLI0002;2023-06-13;8;2;5
CLI0002;2023-06-20;9;4;6
CLI0002;2023-06-27;11;4;5
CLI0002;2023-07-04;11;3;9
CLI0002;2023-07-11;11;4;7
CLI0002;2023-07-18;12;2;10
CLI0002;2023-07-25;8;4;9
CLI0002;2023-08-01;10;4;7
CLI0002;2023-08-08;8;3;8
CLI0002;2023-08-15;9;3;5
CLI0002;2023-08-22;10;4;6
CLI0002;2023-08-29;12;2;10
CLI0002;2023-09-05;10;4;9
CLI0002;2023-09-12;12;2;6
CLI0002;2023-09-19;10;2;9
CLI0002;2023-09-26;12;2;9
CLI0002;2023-10-03;10;3;5
CLI0002;2023-10-10;8;3;7
CLI0002;2023-10-17;9;2;6
CLI0002;2023-10-24;12;2;5
CLI0002;2023-10-31;11;2;9
CLI0002;2023-11-07;9;2;10
CLI0002;2023-11-14;11;4;6
CLI0002;2023-11-21;10;4;9
CLI0002;2023-11-28;11;2;9
CLI0002;2023-12-05;9;4;7
CLI0002;2023-12-12;11;4;10
CLI0002;2023-12-19;10;3;9
CLI0002;2023-12-26;11;2;6
CLI0002;2024-01-02;9;2;7
CLI0002;2024-01-09;8;4;9
CLI0002;2024-01-16;9;4;6
CLI0002;2024-01-23;8;2;10
CLI0002;2024-01-30;8;2;5
CLI0002;2024-02-06;8;3;5
CLI0002;2024-02-13;12;2;7
CLI0002;2024-02-20;11;2;9
CLI0002;2024-02-27;9;4;9
CLI0002;2024-03-05;12;3;6
CLI0002;2024-03-12;11;3;6
CLI0002;2024-03-19;8;2;10
CLI0002;2024-03-26;11;3;8
CLI0002;2024-04-02;11;3;10
CLI0002;2024-04-09;8;4;10
CLI0002;2024-04-16;8;2;8
CLI0002;2024-04-23;10;2;6
CLI0002;2024-04-30;9;2;9
CLI0002;2024-05-07;11;2;8
CLI0002;2024-05-14;9;3;8
CLI0002;2024-05-21;9;2;8
CLI0002;2024-05-28;12;2;5
CLI0002;2024-06-04;12;2;5
CLI0002;2024-06-11;9;2;8
CLI0002;2024-06-18;11;3;6
CLI0002;2024-06-25;11;2;6
CLI0002;2024-07-02;11;2;8
CLI0002;2024-07-09;10;3;7
CLI0002;2024-07-16;11;4;10
CLI0002;2024-07-23;12;4;10
CLI0002;2024-07-30;11;2;6
CLI0002;2024-08-06;10;2;5
CLI0002;2024-08-13;12;4;9
CLI0002;2024-08-20;8;4;7
CLI0002;2024-08-27;8;2;9
CLI0002;2024-09-03;11;4;9
CLI0002;2024-09-10;9;2;9
CLI0002;2024-09-17;8;2;5
CLI0002;2024-09-24;12;2;10
CLI0002;2024-10-01;9;3;5
CLI0002;2024-10-08;12;2;9
CLI0002;2024-10-15;12;2;9
CLI0002;2024-10-22;8;3;10
CLI0002;2024-10-29;12;4;9
CLI0002;2024-11-05;10;3;6
CLI0003;2023-06-21;10;3;6
CLI0003;2023-06-28;10;3;7
CLI0003;2023-07-05;8;2;8
CLI0003;2023-07-12;12;4;5
CLI0003;2023-07-19;8;4;6
CLI0003;2023-07-26;12;3;6
CLI0003;2023-08-02;10;2;6
CLI0003;2023-08-09;10;3;6
CLI0003;2023-08-16;11;4;10
CLI0003;2023-08-23;10;4;10
CLI0003;2023-08-30;12;2;10
CLI0003;2023-09-06;12;3;10
CLI0003;2023-09-13;8;2;7
CLI0003;2023-09-20;8;2;10
CLI0003;2023-09-27;12;2;7
CLI0003;2023-10-04;10;4;6
CLI0003;2023-10-11;10;2;10
CLI0003;2023-10-18;10;4;8
CLI0003;2023-10-25;10;2;5
CLI0003;2023-11-01;11;3;5
CLI0003;2023-11-08;8;3;6
CLI0003;2023-11-15;10;2;10
CLI0003;2023-11-22;11;4;10
CLI0003;2023-11-29;11;4;5
CLI0003;2023-12-06;8;2;10
CLI0003;2023-12-13;9;4;5
CLI0003;2023-12-20;10;4;9
CLI0003;2023-12-27;9;3;6
CLI0003;2024-01-03;8;3;7
CLI0003;2024-01-10;8;3;6
CLI0003;2024-01-17;9;4;5
CLI0003;2024-01-24;10;4;8
CLI0003;2024-01-31;12;4;6
CLI0003;2024-02-07;9;2;6
CLI0003;2024-02-14;11;2;6
CLI0003;2024-02-21;10;3;10
CLI0003;2024-02-28;9;3;6
CLI0003;2024-03-06;8;3;5
CLI0003;2024-03-13;11;2;6
CLI0003;2024-03-20;11;3;7
CLI0003;2024-03-27;9;2;5
CLI0003;2024-04-03;9;3;7
CLI0003;2024-04-10;10;2;7
CLI0003;2024-04-17;10;4;9
CLI0003;2024-04-24;11;4;9
CLI0003;2024-05-01;10;2;5
CLI0003;2024-05-08;10;2;9
CLI0003;2024-05-15;10;2;5
CLI0003;2024-05-22;12;3;7
CLI0003;2024-05-29;10;3;9
CLI0003;2024-06-05;12;2;8
CLI0003;2024-06-12;12;2;7
CLI0004;2023-01-12;12;4;10
CLI0004;2023-01-19;9;3;8
CLI0004;2023-01-26;8;4;7
CLI0004;2023-02-02;12;3;10
CLI0004;2023-02-09;8;4;7
CLI0004;2023-02-16;12;3;10
CLI0004;2023-02-23;11;3;8
CLI0004;2023-03-02;10;4;6
CLI0004;2023-03-09;9;3;10
CLI0004;2023-03-16;11;4;10
CLI0004;2023-03-23;9;4;9
CLI0004;2023-03-30;10;3;9
CLI0004;2023-04-06;8;3;7
CLI0004;2023-04-13;9;3;9
CLI0004;2023-04-20;12;4;7
CLI0004;2023-04-27;11;3;8
CLI0004;2023-05-04;9;4;8
CLI0004;2023-05-11;9;4;5
CLI0004;2023-05-18;10;4;10
CLI0004;2023-05-25;12;3;5
CLI0004;2023-06-01;9;4;7
CLI0004;2023-06-08;9;2;6
CLI0004;2023-06-15;8;2;6
CLI0004;2023-06-22;11;4;5
CLI0004;2023-06-29;11;3;10
CLI0004;2023-07-06;12;2;10
CLI0004;2023-07-13;11;3;8
CLI0004;2023-07-20;9;2;10
CLI0004;2023-07-27;8;2;8
CLI0004;2023-08-03;9;2;10
CLI0004;2023-08-10;12;3;5
CLI0004;2023-08-17;12;2;5
CLI0004;2023-08-24;11;2;8
CLI0004;2023-08-31;12;4;9
